SL,District,Upazila,Sq No,Country,Division,District,Upazila,Union,Ward No,Name of SK/SHW,Desig.,Name of SS,Village Name (English),"Village Name 
(Bangla)","Village 
Code",Latitude,Longitute,Population,HH Number,"2026 
(Active LLINs)","2025
(Active LLINs)","2024
(Active LLINs)",January,February,March,April,May,June,July,August,September,October,November,December,"Name of
 MMW, 
Health 
post &
CHW(C)","Village 
Distance
 from 
upazila office (KM)","Name of Border
 with others
 country","Others
 Activities
(TDA/Dev care)"
14,Bandarban,Thanchi,14,Bangladesh,Chattogram,Khagrachhari,Mahalchhari,Kiyangghat,06,,,,Haza Chhara,হাজা ছড়া,KIY603,22.991923,92.061667,140,,,,,,,,,,,,,,,,,,,,
15,Bandarban,Thanchi,15,Bangladesh,Chattogram,Khagrachhari,Mahalchhari,Kiyangghat,06,,,,Pera Para,পেরা পাড়া,KIY604,23.009624,92.057834,100,,,,,,,,,,,,,,,,,,,,
16,Bandarban,Thanchi,16,Bangladesh,Chattogram,Khagrachhari,Mahalchhari,Kiyangghat,06,,,,Kalabanya Para,কলাবন্যা পাড়া,KIY605,22.999708,92.066721,300,,,,,,,,,,,,,,,,,,,,
17,Bandarban,Thanchi,17,Bangladesh,Chattogram,Khagrachhari,Mahalchhari,Kiyangghat,06,,,,Madhya Para,মধ্য পাড়া,KIY606,23.016118,92.046420,350,,,,,,,,,,,,,,,,,,,,
18,Bandarban,Thanchi,18,Bangladesh,Chattogram,Khagrachhari,Mahalchhari,Kiyangghat,06,,,,Dhela Para,ঢেলা পাড়া,KIY607,23.002380,92.069258,120,,,,,,,,,,,,,,,,,,,,
19,Bandarban,Thanchi,19,Bangladesh,Chattogram,Khagrachhari,Mahalchhari,Kiyangghat,06,,,,Ultachhari Army Para,উল্টাছড়ি আর্মি ক্যাম্প ,KIY608,23.011113,92.039378,,,,,,,,,,,,,,,,,,,,,
20,Bandarban,Thanchi,20,Bangladesh,Chattogram,Khagrachhari,Mahalchhari,Kiyangghat,07,,,,Golakya Para,গোলক্যা পাড়া,KIY701,23.000332,92.078269,650,,,,,,,,,,,,,,,,,,,,
21,Bandarban,Thanchi,21,Bangladesh,Chattogram,Khagrachhari,Mahalchhari,Kiyangghat,07,,,,Ghatghar Para,ঘাটঘর পাড়া,KIY702,23.018467,92.032521,375,,,,,,,,,,,,,,,,,,,,
22,Bandarban,Thanchi,22,Bangladesh,Chattogram,Khagrachhari,Mahalchhari,Kiyangghat,07,,,,Marbari Para,মারবাড়ি পাড়া,KIY703,23.011292,92.029427,210,,,,,,,,,,,,,,,,,,,,
23,Bandarban,Thanchi,23,Bangladesh,Chattogram,Khagrachhari,Mahalchhari,Kiyangghat,08,,,,Lamba Para,লাম্বা পাড়া,KIY801,23.034909,92.060297,400,,,,,,,,,,,,,,,,,,,,
24,Bandarban,Thanchi,24,Bangladesh,Chattogram,Khagrachhari,Mahalchhari,Kiyangghat,08,,,,Datkupye Para,দাতকুপ্যে পাড়া,KIY802,23.030027,92.039035,800,,,,,,,,,,,,,,,,,,,,
25,Bandarban,Thanchi,25,Bangladesh,Chattogram,Khagrachhari,Mahalchhari,Kiyangghat,08,,,,Katukchhari Mukh,কতুকছড়ি মুখ,KIY803,23.042315,92.058335,100,,,,,,,,,,,,,,,,,,,,
26,Bandarban,Thanchi,26,Bangladesh,Chattogram,Khagrachhari,Mahalchhari,Kiyangghat,09,,,,Chairman Para,চেয়ারম্যান পাড়া,KIY901,23.015328,92.037328,195,,,,,,,,,,,,,,,,,,,,
27,Bandarban,Thanchi,27,Bangladesh,Chattogram,Khagrachhari,Mahalchhari,Kiyangghat,09,,,,Ultachhari Madhya Para,উল্টাছড়ি মধ্য পাড়া,KIY902,23.020200,92.040781,215,,,,,,,,,,,,,,,,,,,,
28,Bandarban,Thanchi,28,Bangladesh,Chattogram,Khagrachhari,Mahalchhari,Kiyangghat,09,,,,Subal Kishta Para,সুবল কিষ্ট পাড়া,KIY903,23.027341,92.069823,315,,,,,,,,,,,,,,,,,,,,
29,Bandarban,Thanchi,29,Bangladesh,Chattogram,Khagrachhari,Mahalchhari,Kiyangghat,09,,,,Bihar Para,বিহার পাড়া,KIY904,23.029000,92.048049,135,,,,,,,,,,,,,,,,,,,,
30,Bandarban,Thanchi,30,Bangladesh,Chattogram,Khagrachhari,Mahalchhari,Kiyangghat,09,,,,Satghar Para,সাতঘর পাড়া,KIY905,23.014470,92.065818,180,,,,,,,,,,,,,,,,,,,,
31,Bandarban,Thanchi,31,Bangladesh,Chattogram,Khagrachhari,Mahalchhari,Mahalchhari,01,,,,Bazar Elaka,বাজার এলাকা,MAH101,22.933855,92.030389,650,,,,,,,,,,,,,,,,,,,,
32,Bandarban,Thanchi,32,Bangladesh,Chattogram,Khagrachhari,Mahalchhari,Mahalchhari,01,,,,Nursery Para,নার্সারি পাড়া,MAH102,22.935567,92.029244,350,,,,,,,,,,,,,,,,,,,,
33,Bandarban,Thanchi,33,Bangladesh,Chattogram,Khagrachhari,Mahalchhari,Mahalchhari,01,,,,Sylheti Para,সিলেটি পাড়া,MAH103,22.933944,92.034009,1200,,,,,,,,,,,,,,,,,,,,
34,Bandarban,Thanchi,34,Bangladesh,Chattogram,Khagrachhari,Mahalchhari,Mahalchhari,01,,,,Chattagram Para,চট্টগ্রাম পাড়া,MAH104,22.931750,92.034920,300,,,,,,,,,,,,,,,,,,,,
35,Bandarban,Thanchi,35,Bangladesh,Chattogram,Khagrachhari,Mahalchhari,Mahalchhari,01,,,,Thana Elaka,থানা এলাকা,MAH105,22.933384,92.033525,100,,,,,,,,,,,,,,,,,,,,
36,Bandarban,Thanchi,36,Bangladesh,Chattogram,Khagrachhari,Mahalchhari,Mahalchhari,01,,,,Haspatal Elaka,হাসপাতাল এলাকা,MAH106,22.936359,92.032766,90,,,,,,,,,,,,,,,,,,,,
37,Bandarban,Thanchi,37,Bangladesh,Chattogram,Khagrachhari,Mahalchhari,Mahalchhari,01,,,,Upazila Parishad Elaka,উপজেলা পরিষদ এলাকা,MAH107,22.936604,92.029525,10,,,,,,,,,,,,,,,,,,,,
38,Bandarban,Thanchi,38,Bangladesh,Chattogram,Khagrachhari,Mahalchhari,Mahalchhari,01,,,,Natun Para,নতুন পাড়া,MAH108,22.935108,92.030537,1200,,,,,,,,,,,,,,,,,,,,
39,Bandarban,Thanchi,39,Bangladesh,Chattogram,Khagrachhari,Mahalchhari,Mahalchhari,01,,,,18 Paribar,১৮ পরিবার,MAH109,22.933845,92.028078,350,,,,,,,,,,,,,,,,,,,,
40,Bandarban,Thanchi,40,Bangladesh,Chattogram,Khagrachhari,Mahalchhari,Mahalchhari,02,,,,Tila Para,টিলা পাড়া,MAH201,22.932500,92.031202,1500,,,,,,,,,,,,,,,,,,,,
41,Bandarban,Thanchi,41,Bangladesh,Chattogram,Khagrachhari,Mahalchhari,Mahalchhari,02,,,,Ramesu Karbari Para,রামেসু কারবারি পাড়া,MAH202,22.930013,92.027847,400,,,,,,,,,,,,,,,,,,,,
42,Bandarban,Thanchi,42,Bangladesh,Chattogram,Khagrachhari,Mahalchhari,Mahalchhari,02,,,,Chairman Para,চেয়ারম্যান পাড়া,MAH203,22.931085,92.030888,500,,,,,,,,,,,,,,,,,,,,
43,Bandarban,Thanchi,43,Bangladesh,Chattogram,Khagrachhari,Mahalchhari,Mahalchhari,03,,,,Mohammadpur,মোহাম্মদপুর,MAH301,22.935448,92.027069,750,,,,,,,,,,,,,,,,,,,,
44,Bandarban,Thanchi,44,Bangladesh,Chattogram,Khagrachhari,Mahalchhari,Mahalchhari,03,,,,T&T Para,টি এন্ড টি পাড়া,MAH302,22.939507,92.028941,400,,,,,,,,,,,,,,,,,,,,
45,Bandarban,Thanchi,45,Bangladesh,Chattogram,Khagrachhari,Mahalchhari,Mahalchhari,03,,,,Comilla Tila,কুমিল্লা টিলা,MAH303,22.929900,92.021471,350,,,,,,,,,,,,,,,,,,,,
46,Bandarban,Thanchi,46,Bangladesh,Chattogram,Khagrachhari,Mahalchhari,Mahalchhari,03,,,,Master Para (Dipalo Tila),মাস্টার পাড়া (দিপালো টিলা),MAH304,22.931345,92.026703,735,,,,,,,,,,,,,,,,,,,,
47,Bandarban,Thanchi,47,Bangladesh,Chattogram,Khagrachhari,Mahalchhari,Mahalchhari,03,,,,Town Hall Para,টাউন হল পাড়া,MAH305,22.938009,92.028163,150,,,,,,,,,,,,,,,,,,,,
48,Bandarban,Thanchi,48,Bangladesh,Chattogram,Khagrachhari,Mahalchhari,Mahalchhari,03,,,,APBN,এপিবিএন,MAH306,22.933486,92.022821,,,,,,,,,,,,,,,,,,,,,
49,Bandarban,Thanchi,49,Bangladesh,Chattogram,Khagrachhari,Mahalchhari,Mahalchhari,03,,,,Mahalchhari Zone,মহালছড়ি জোন,MAH307,22.939577,92.021852,,,,,,,,,,,,,,,,,,,,,
50,Bandarban,Thanchi,50,Bangladesh,Chattogram,Khagrachhari,Mahalchhari,Mahalchhari,04,,,,Changrachhari Mukh,চৌংড়াছড়ি মুখ,MAH401,22.942455,92.033242,600,,,,,,,,,,,,,,,,,,,,
51,Bandarban,Thanchi,51,Bangladesh,Chattogram,Khagrachhari,Mahalchhari,Mahalchhari,04,,,,Mahajan Para,মহাজন পাড়া,MAH402,22.954998,92.036596,500,,,,,,,,,,,,,,,,,,,,
52,Bandarban,Thanchi,52,Bangladesh,Chattogram,Khagrachhari,Mahalchhari,Mahalchhari,04,,,,Bhuatya Para,ভূয়াত্যা পাড়া,MAH403,22.951022,92.041213,400,,,,,,,,,,,,,,,,,,,,
53,Bandarban,Thanchi,53,Bangladesh,Chattogram,Khagrachhari,Mahalchhari,Mahalchhari,04,,,,Chitrakumar Karbari Para,চিত্রকুমার কারবারি পাড়া,MAH404,22.949174,92.037613,420,,,,,,,,,,,,,,,,,,,,
54,Bandarban,Thanchi,54,Bangladesh,Chattogram,Khagrachhari,Mahalchhari,Mahalchhari,04,,,,Noa Para,নোয়া পাড়া,MAH405,22.958714,92.036728,80,,,,,,,,,,,,,,,,,,,,
55,Bandarban,Thanchi,55,Bangladesh,Chattogram,Khagrachhari,Mahalchhari,Mahalchhari,05,,,,Changrachhari Guchchha Gram,চৌংড়াছড়ি গুচ্ছ গ্রাম,MAH501,22.959355,92.029475,2200,,,,,,,,,,,,,,,,,,,,
56,Bandarban,Thanchi,56,Bangladesh,Chattogram,Khagrachhari,Mahalchhari,Mahalchhari,05,,,,Shanti Nagar,শান্তি নগর,MAH502,22.946912,92.024415,750,,,,,,,,,,,,,,,,,,,,
57,Bandarban,Thanchi,57,Bangladesh,Chattogram,Khagrachhari,Mahalchhari,Mahalchhari,06,,,,Changrachhari Headman Para,চৌংড়াছড়ি হেডম্যান পাড়া,MAH601,22.953132,92.017176,2000,,,,,,,,,,,,,,,,,,,,
58,Bandarban,Thanchi,58,Bangladesh,Chattogram,Khagrachhari,Mahalchhari,Mahalchhari,06,,,,Changrachhari Roaza Para,চৌংড়াছড়ি রোওয়াজা পাড়া,MAH602,22.950416,92.010029,1000,,,,,,,,,,,,,,,,,,,,
59,Bandarban,Thanchi,59,Bangladesh,Chattogram,Khagrachhari,Mahalchhari,Mahalchhari,07,,,,Pahartali,পাহাড়তলি,MAH701,22.924474,92.032155,500,,,,,,,,,,,,,,,,,,,,
60,Bandarban,Thanchi,60,Bangladesh,Chattogram,Khagrachhari,Mahalchhari,Mahalchhari,07,,,,Saw Mill Para,স মিল পাড়া,MAH702,22.929098,92.032729,200,,,,,,,,,,,,,,,,,,,,
61,Bandarban,Thanchi,61,Bangladesh,Chattogram,Khagrachhari,Mahalchhari,Mahalchhari,07,,,,Durpujya Nal,দূরপর্য্য নাল,MAH703,22.914724,92.029694,450,,,,,,,,,,,,,,,,,,,,
62,Bandarban,Thanchi,62,Bangladesh,Chattogram,Khagrachhari,Mahalchhari,Mahalchhari,07,,,,Bhuatek,ভুয়াটেক,MAH704,22.921863,92.033321,200,,,,,,,,,,,,,,,,,,,,
63,Bandarban,Thanchi,63,Bangladesh,Chattogram,Khagrachhari,Mahalchhari,Mahalchhari,07,,,,Kerengenal Headman Para,কেরেঙেনাল হেডম্যান পাড়া,MAH705,22.912598,92.044127,550,,,,,,,,,,,,,,,,,,,,
64,Bandarban,Thanchi,64,Bangladesh,Chattogram,Khagrachhari,Mahalchhari,Mahalchhari,07,,,,Basanta Para,বসন্ত পাড়া,MAH706,22.909386,92.049352,210,,,,,,,,,,,,,,,,,,,,
65,Bandarban,Thanchi,65,Bangladesh,Chattogram,Khagrachhari,Mahalchhari,Mahalchhari,08,,,,Gadchhara,গাদছড়া,MAH801,22.904757,92.022900,70,,,,,,,,,,,,,,,,,,,,
66,Bandarban,Thanchi,66,Bangladesh,Chattogram,Khagrachhari,Mahalchhari,Mahalchhari,08,,,,Manoranjan Para,মনোরঞ্জন পাড়া,MAH802,22.901541,92.026046,375,,,,,,,,,,,,,,,,,,,,
67,Bandarban,Thanchi,67,Bangladesh,Chattogram,Khagrachhari,Mahalchhari,Mahalchhari,08,,,,Bimal Para,বিমল পাড়া,MAH803,22.900550,92.034506,175,,,,,,,,,,,,,,,,,,,,
68,Bandarban,Thanchi,68,Bangladesh,Chattogram,Khagrachhari,Mahalchhari,Mahalchhari,08,,,,Hemranjan Para,হেমরঞ্জন পাড়া,MAH804,22.903828,92.046248,325,,,,,,,,,,,,,,,,,,,,
69,Bandarban,Thanchi,69,Bangladesh,Chattogram,Khagrachhari,Mahalchhari,Mahalchhari,08,,,,Kalachan Para,কালাচান পাড়া,MAH805,22.911275,92.054612,160,,,,,,,,,,,,,,,,,,,,
70,Bandarban,Thanchi,70,Bangladesh,Chattogram,Khagrachhari,Mahalchhari,Mahalchhari,08,,,,Hemanta Para,হেমন্ত পাড়া,MAH806,22.912502,92.058676,185,,,,,,,,,,,,,,,,,,,,
71,Bandarban,Thanchi,71,Bangladesh,Chattogram,Khagrachhari,Mahalchhari,Mahalchhari,08,,,,Khamar Para,খামার পাড়া,MAH807,22.907896,92.016749,130,,,,,,,,,,,,,,,,,,,,
72,Bandarban,Thanchi,72,Bangladesh,Chattogram,Khagrachhari,Mahalchhari,Mahalchhari,09,,,,Thali Para ,থলি পাড়া,MAH901,22.925464,92.017726,750,,,,,,,,,,,,,,,,,,,,
73,Bandarban,Thanchi,73,Bangladesh,Chattogram,Khagrachhari,Mahalchhari,Mahalchhari,09,,,,24 Mile,২৪ মাইল,MAH902,22.922977,92.012333,175,,,,,,,,,,,,,,,,,,,,
74,Bandarban,Thanchi,74,Bangladesh,Chattogram,Khagrachhari,Mahalchhari,Mahalchhari,09,,,,Uchcha Kengalchhari,উচ্চ কেঙ্গলছড়ি,MAH903,22.906051,92.014657,125,,,,,,,,,,,,,,,,,,,,
75,Bandarban,Thanchi,75,Bangladesh,Chattogram,Khagrachhari,Mahalchhari,Mahalchhari,09,,,,Durchhari,দূরছড়ি,MAH904,22.915125,92.001206,175,,,,,,,,,,,,,,,,,,,,
76,Bandarban,Thanchi,76,Bangladesh,Chattogram,Khagrachhari,Mahalchhari,Mahalchhari,09,,,,Dumanighat,ধুমনীঘাট,MAH905,22.922144,91.981320,350,,,,,,,,,,,,,,,,,,,,
77,Bandarban,Thanchi,77,Bangladesh,Chattogram,Khagrachhari,Mahalchhari,Mahalchhari,09,,,,Haza Chhara,হাজা ছড়া,MAH906,22.916252,92.012650,175,,,,,,,,,,,,,,,,,,,,
78,Bandarban,Thanchi,78,Bangladesh,Chattogram,Khagrachhari,Mahalchhari,Mahalchhari,09,,,,Bajechhara,বাজেছড়া,MAH907,22.905393,92.002270,100,,,,,,,,,,,,,,,,,,,,
79,Bandarban,Thanchi,79,Bangladesh,Chattogram,Khagrachhari,Mahalchhari,Mahalchhari,09,,,,Natun Para,নতুন পাড়া,MAH908,22.933708,91.985041,150,,,,,,,,,,,,,,,,,,,,
80,Bandarban,Thanchi,80,Bangladesh,Chattogram,Khagrachhari,Mahalchhari,Mahalchhari,09,,,,Babu Para,বাবু পাড়া,MAH909,22.926584,92.025240,600,,,,,,,,,,,,,,,,,,,,
81,Bandarban,Thanchi,81,Bangladesh,Chattogram,Khagrachhari,Mahalchhari,Mahalchhari,09,,,,Mahalchhari Joutha Khamar,মহালছড়ি যৌথ খামার,MAH910,22.923625,92.001919,325,,,,,,,,,,,,,,,,,,,,
82,Bandarban,Thanchi,82,Bangladesh,Chattogram,Khagrachhari,Mahalchhari,Mahalchhari,09,,,,Mura Para,মুড়া পাড়া,MAH911,22.933793,92.015594,500,,,,,,,,,,,,,,,,,,,,
83,Bandarban,Thanchi,83,Bangladesh,Chattogram,Khagrachhari,Mahalchhari,Mahalchhari,09,,,,Karalyachhari,করল্যাছড়ি,MAH912,22.937090,91.994321,130,,,,,,,,,,,,,,,,,,,,
84,Bandarban,Thanchi,84,Bangladesh,Chattogram,Khagrachhari,Mahalchhari,Mahalchhari,09,,,,Joutha Khamar Tripura Para,যৌথ খামার ত্রিপুরা পাড়া,MAH913,22.940982,92.013504,375,,,,,,,,,,,,,,,,,,,,
85,Bandarban,Thanchi,85,Bangladesh,Chattogram,Khagrachhari,Mahalchhari,Mahalchhari,09,,,,Dumanighat Army Camp,ধুমনীঘাট আর্মি ক্যাম্প,MAH914,22.924915,91.981021,,,,,,,,,,,,,,,,,,,,,
86,Bandarban,Thanchi,86,Bangladesh,Chattogram,Khagrachhari,Mahalchhari,Maischhari,01,,,,Chowdhury Para,চৌধুরী পাড়া,MAI101,23.012043,92.017179,495,,,,,,,,,,,,,,,,,,,,
87,Bandarban,Thanchi,87,Bangladesh,Chattogram,Khagrachhari,Mahalchhari,Maischhari,01,,,,Balipara,বলীপাড়া,MAI102,23.014002,92.024836,325,,,,,,,,,,,,,,,,,,,,
88,Bandarban,Thanchi,88,Bangladesh,Chattogram,Khagrachhari,Mahalchhari,Maischhari,01,,,,Maischhari School Para,মাইসছড়ি স্কুল পাড়া,MAI103,23.021612,92.012939,190,,,,,,,,,,,,,,,,,,,,
89,Bandarban,Thanchi,89,Bangladesh,Chattogram,Khagrachhari,Mahalchhari,Maischhari,01,,,,Maischhari Bazar Elaka,মাইসছড়ি বাজার এলাকা,MAI104,23.013103,92.014978,325,,,,,,,,,,,,,,,,,,,,
90,Bandarban,Thanchi,90,Bangladesh,Chattogram,Khagrachhari,Mahalchhari,Maischhari,01,,,,DP Para,ডিপি পাড়া,MAI105,23.017448,92.004963,180,,,,,,,,,,,,,,,,,,,,
91,Bandarban,Thanchi,91,Bangladesh,Chattogram,Khagrachhari,Mahalchhari,Maischhari,01,,,,Nunchhari APBN Camp,নুনছড়ি এপিবিএন ক্যাম্প,MAI106,23.020206,92.013476,,,,,,,,,,,,,,,,,,,,,
92,Bandarban,Thanchi,92,Bangladesh,Chattogram,Khagrachhari,Mahalchhari,Maischhari,02,,,,Abed Ali Sardar Para,আবেদ আলী সর্দার পাড়া,MAI201,23.018428,92.010977,950,,,,,,,,,,,,,,,,,,,,
93,Bandarban,Thanchi,93,Bangladesh,Chattogram,Khagrachhari,Mahalchhari,Maischhari,02,,,,Giastila,গিয়াসটিলা,MAI202,23.015152,92.012491,450,,,,,,,,,,,,,,,,,,,,
94,Bandarban,Thanchi,94,Bangladesh,Chattogram,Khagrachhari,Mahalchhari,Maischhari,02,,,,Khalil Sardar Para,খলিল সর্দার পাড়া,MAI203,23.013335,92.012071,760,,,,,,,,,,,,,,,,,,,,
95,Bandarban,Thanchi,95,Bangladesh,Chattogram,Khagrachhari,Mahalchhari,Maischhari,02,,,,Ansar Camp,আনসার ক্যাম্প,MAI204,23.014514,92.005648,,,,,,,,,,,,,,,,,,,,,
96,Bandarban,Thanchi,96,Bangladesh,Chattogram,Khagrachhari,Mahalchhari,Maischhari,03,,,,Noa Para,নোয়া পাড়া,MAI301,23.009542,92.011469,320,,,,,,,,,,,,,,,,,,,,
97,Bandarban,Thanchi,97,Bangladesh,Chattogram,Khagrachhari,Mahalchhari,Maischhari,03,,,,Ratnasen Karbari Para,রত্নসেন কারবারি পাড়া,MAI302,23.009637,92.009181,70,,,,,,,,,,,,,,,,,,,,
98,Bandarban,Thanchi,98,Bangladesh,Chattogram,Khagrachhari,Mahalchhari,Maischhari,03,,,,Rabichandra Karbari Para,রবিচন্দ্র কারবারি পাড়া,MAI303,23.008984,92.007096,60,,,,,,,,,,,,,,,,,,,,
99,Bandarban,Thanchi,99,Bangladesh,Chattogram,Khagrachhari,Mahalchhari,Maischhari,03,,,,Manikchhari Joysen Karbari Para,মানিকছড়ি জয়সেন কারবারি পাড়া,MAI304,23.006107,92.000412,190,,,,,,,,,,,,,,,,,,,,
100,Bandarban,Thanchi,100,Bangladesh,Chattogram,Khagrachhari,Mahalchhari,Maischhari,03,,,,Badigula Para,বাদিগুলা পাড়া,MAI305,23.004676,91.989327,99,,,,,,,,,,,,,,,,,,,,
101,Bandarban,Thanchi,101,Bangladesh,Chattogram,Khagrachhari,Mahalchhari,Maischhari,03,,,,Painda Karbari Para,পাইন্দা কারবারি পাড়া,MAI306,22.988180,91.986664,125,,,,,,,,,,,,,,,,,,,,
102,Bandarban,Thanchi,102,Bangladesh,Chattogram,Khagrachhari,Mahalchhari,Maischhari,03,,,,Kala Para,কলা পাড়া,MAI307,22.985751,91.978264,35,,,,,,,,,,,,,,,,,,,,
103,Bandarban,Thanchi,103,Bangladesh,Chattogram,Khagrachhari,Mahalchhari,Maischhari,03,,,,Rashidhan Para,রশিধন পাড়া,MAI308,22.980795,91.970887,100,,,,,,,,,,,,,,,,,,,,
104,Bandarban,Thanchi,104,Bangladesh,Chattogram,Khagrachhari,Mahalchhari,Maischhari,03,,,,Maniram Para,মণিরাম পাড়া,MAI309,22.967889,91.977523,65,,,,,,,,,,,,,,,,,,,,
105,Bandarban,Thanchi,105,Bangladesh,Chattogram,Khagrachhari,Mahalchhari,Maischhari,03,,,,Sathi Para,সাথী পাড়া,MAI310,23.008383,91.982225,185,,,,,,,,,,,,,,,,,,,,
106,Bandarban,Thanchi,106,Bangladesh,Chattogram,Khagrachhari,Mahalchhari,Maischhari,03,,,,Haza Chhara,হাজা ছড়া,MAI311,23.010559,91.991568,300,,,,,,,,,,,,,,,,,,,,
107,Bandarban,Thanchi,107,Bangladesh,Chattogram,Khagrachhari,Mahalchhari,Maischhari,03,,,,Lambachhara,লম্বাছড়া,MAI312,23.006601,91.963317,110,,,,,,,,,,,,,,,,,,,,
108,Bandarban,Thanchi,108,Bangladesh,Chattogram,Khagrachhari,Mahalchhari,Maischhari,03,,,,25 Paribar Punarbasan Para,পঁচিশ পরিবার পুনর্বাসন পাড়া,MAI313,23.008952,91.955468,150,,,,,,,,,,,,,,,,,,,,
109,Bandarban,Thanchi,109,Bangladesh,Chattogram,Khagrachhari,Mahalchhari,Maischhari,03,,,,Narendra Karbari Para,নরেন্দ্র কারবারি পাড়া,MAI314,22.998167,91.974305,130,,,,,,,,,,,,,,,,,,,,
110,Bandarban,Thanchi,110,Bangladesh,Chattogram,Khagrachhari,Mahalchhari,Maischhari,03,,,,Joutha Khamar,যৌথ খামার,MAI315,23.014581,92.006616,35,,,,,,,,,,,,,,,,,,,,
111,Bandarban,Thanchi,111,Bangladesh,Chattogram,Khagrachhari,Mahalchhari,Maischhari,04,,,,Apruchai Karbari Para,আপ্রুচাই কারবারি পাড়া,MAI401,23.007348,92.016810,85,,,,,,,,,,,,,,,,,,,,
112,Bandarban,Thanchi,112,Bangladesh,Chattogram,Khagrachhari,Mahalchhari,Maischhari,04,,,,Paishoi Mahajan Para,পাইশৈ মহাজন পাড়া,MAI402,23.006206,92.013869,275,,,,,,,,,,,,,,,,,,,,
113,Bandarban,Thanchi,113,Bangladesh,Chattogram,Khagrachhari,Mahalchhari,Maischhari,04,,,,Sauprue Karbari Para,সাউপ্রু কারবারি পাড়া,MAI403,23.002982,92.013518,100,,,,,,,,,,,,,,,,,,,,
114,Bandarban,Thanchi,114,Bangladesh,Chattogram,Khagrachhari,Mahalchhari,Maischhari,04,,,,Uttar Joysen Para,উত্তর জয়সেন পাড়া,MAI404,22.995551,92.006761,125,,,,,,,,,,,,,,,,,,,,
