SL,District,Upazila,Sq No,Country,Division,District,Upazila,Union,Ward No,Name of SK/SHW,Desig.,Name of SS,Village Name (English),"Village Name 
(Bangla)","Village 
Code",Latitude,Longitute,Population,HH Number,"2026 
(Active LLINs)","2025
(Active LLINs)","2024
(Active LLINs)",January,February,March,April,May,June,July,August,September,October,November,December,"Name of
 MMW, 
Health 
post &
CHW(C)","Village 
Distance
 from 
upazila office (KM)","Name of Border
 with others
 country","Others
 Activities
(TDA/Dev care)"
11,Bandarban,Thanchi,11,Bangladesh,Chattogram,Bandarban,Thanchi,Balipara,03,,,,Hindu Para,হিন্দু পাড়া,BAL302,21.882036,92.392884,700,,,,,,,,,,,,,,,,,,,,
12,Bandarban,Thanchi,12,Bangladesh,Chattogram,Bandarban,Thanchi,Balipara,03,,,,Balipara BGB Camp,বলিপাড়া বিজিবি ক্যাম্প,BAL303,21.881538,92.396243,,,,,,,,,,,,,,,,,,,,,
13,Bandarban,Thanchi,13,Bangladesh,Chattogram,Bandarban,Thanchi,Balipara,04,,,,Naikkhyong Para,নাইক্ষ্যং পাড়া,BAL401,21.869410,92.402209,250,,,,,,,,,,,,,,,,,,,,
14,Bandarban,Thanchi,14,Bangladesh,Chattogram,Bandarban,Thanchi,Balipara,04,,,,Sakhai Para,সাখই পাড়া,BAL402,21.844859,92.384812,160,,,,,,,,,,,,,,,,,,,,
15,Bandarban,Thanchi,15,Bangladesh,Chattogram,Bandarban,Thanchi,Balipara,05,,,,Krangkhyang Para,ক্রংক্ষ্যং পাড়া,BAL501,21.851623,92.420148,350,,,,,,,,,,,,,,,,,,,,
16,Bandarban,Thanchi,16,Bangladesh,Chattogram,Bandarban,Thanchi,Balipara,05,,,,Mongmyaching Para,মংম্যাচিং পাড়া,BAL502,21.858524,92.409541,50,,,,,,,,,,,,,,,,,,,,
17,Bandarban,Thanchi,17,Bangladesh,Chattogram,Bandarban,Thanchi,Balipara,05,,,,Menrowa Para,মেনরোয়া পাড়া,BAL503,21.843291,92.393212,104,,,,,,,,,,,,,,,,,,,,
18,Bandarban,Thanchi,18,Bangladesh,Chattogram,Bandarban,Thanchi,Balipara,05,,,,Haitong Para,হয়তন পাড়া,BAL504,21.844132,92.399181,100,,,,,,,,,,,,,,,,,,,,
19,Bandarban,Thanchi,19,Bangladesh,Chattogram,Bandarban,Thanchi,Balipara,05,,,,Dingte Para,দিংতে পাড়া,BAL505,21.826860,92.405419,110,,,,,,,,,,,,,,,,,,,,
20,Bandarban,Thanchi,20,Bangladesh,Chattogram,Bandarban,Thanchi,Balipara,06,,,,Biddyamoni Para,বিদ্যামনি পাড়া,BAL601,21.815454,92.403812,250,,,,,,,,,,,,,,,,,,,,
21,Bandarban,Thanchi,21,Bangladesh,Chattogram,Bandarban,Thanchi,Balipara,06,,,,Fohlaching Para,ফোহ্লাচিং পাড়া,BAL602,21.815399,92.405036,40,,,,,,,,,,,,,,,,,,,,
22,Bandarban,Thanchi,22,Bangladesh,Chattogram,Bandarban,Thanchi,Balipara,06,,,,Naidari Para,নাইদারী পাড়া,BAL603,21.823946,92.428779,160,,,,,,,,,,,,,,,,,,,,
23,Bandarban,Thanchi,23,Bangladesh,Chattogram,Bandarban,Thanchi,Balipara,06,,,,Kanjoi Para,কনজুই পাড়া,BAL604,21.839177,92.417408,200,,,,,,,,,,,,,,,,,,,,
24,Bandarban,Thanchi,24,Bangladesh,Chattogram,Bandarban,Thanchi,Balipara,06,,,,Thanchi Army Camp,থানচি আর্মি ক্যাম্প,BAL605,21.821236,92.424873,,,,,,,,,,,,,,,,,,,,,
25,Bandarban,Thanchi,25,Bangladesh,Chattogram,Bandarban,Thanchi,Balipara,07,,,,Bali Para,বলি পাড়া,BAL701,21.890365,92.391145,460,,,,,,,,,,,,,,,,,,,,
26,Bandarban,Thanchi,26,Bangladesh,Chattogram,Bandarban,Thanchi,Balipara,07,,,,Basil Maro Para,বাসিল মরো পাড়া,BAL702,21.893998,92.390826,80,,,,,,,,,,,,,,,,,,,,
27,Bandarban,Thanchi,27,Bangladesh,Chattogram,Bandarban,Thanchi,Balipara,07,,,,Prafulla Para,প্রফুল্ল পাড়া,BAL703,21.893990,92.388109,10,,,,,,,,,,,,,,,,,,,,
28,Bandarban,Thanchi,28,Bangladesh,Chattogram,Bandarban,Thanchi,Balipara,07,,,,Gyanlal Para,জ্ঞানলাল পাড়া,BAL704,21.887544,92.409753,60,,,,,,,,,,,,,,,,,,,,
29,Bandarban,Thanchi,29,Bangladesh,Chattogram,Bandarban,Thanchi,Balipara,08,,,,Kyachu Para,ক্যচু পাড়া,BAL801,21.894422,92.418292,400,,,,,,,,,,,,,,,,,,,,
30,Bandarban,Thanchi,30,Bangladesh,Chattogram,Bandarban,Thanchi,Balipara,08,,,,Brahmadatta Para,ব্রহ্মদত্ত পাড়া,BAL802,21.890996,92.415328,100,,,,,,,,,,,,,,,,,,,,
31,Bandarban,Thanchi,31,Bangladesh,Chattogram,Bandarban,Thanchi,Balipara,08,,,,Janerang Para,জনেরাং পাড়া,BAL803,21.890783,92.438733,45,,,,,,,,,,,,,,,,,,,,
32,Bandarban,Thanchi,32,Bangladesh,Chattogram,Bandarban,Thanchi,Balipara,08,,,,Sungthang Khumi Para,সুংথাং খুমী পাড়া,BAL804,21.889776,92.421470,45,,,,,,,,,,,,,,,,,,,,
33,Bandarban,Thanchi,33,Bangladesh,Chattogram,Bandarban,Thanchi,Balipara,09,,,,Satishchadra Para,সতীশচন্দ্র পাড়া,BAL901,21.877084,92.449321,320,,,,,,,,,,,,,,,,,,,,
34,Bandarban,Thanchi,34,Bangladesh,Chattogram,Bandarban,Thanchi,Balipara,09,,,,Thangang Para,থংনাং পাড়া,BAL902,21.853937,92.436838,100,,,,,,,,,,,,,,,,,,,,
35,Bandarban,Thanchi,35,Bangladesh,Chattogram,Bandarban,Thanchi,Balipara,09,,,,Hastarang Para,হাঁস্তরাং পাড়া,BAL903,21.883540,92.441018,60,,,,,,,,,,,,,,,,,,,,
36,Bandarban,Thanchi,36,Bangladesh,Chattogram,Bandarban,Thanchi,Balipara,09,,,,Halirang Para,হালিরাং পাড়া,BAL904,21.857892,92.424509,250,,,,,,,,,,,,,,,,,,,,
37,Bandarban,Thanchi,37,Bangladesh,Chattogram,Bandarban,Thanchi,Balipara,09,,,,Sayarang Para,সৈয়রাং পাড়া,BAL905,21.865586,92.445593,180,,,,,,,,,,,,,,,,,,,,
38,Bandarban,Thanchi,38,Bangladesh,Chattogram,Bandarban,Thanchi,Remakri,01,,,,Dalian Para,দলিয়ান পাড়া,REM101,21.690489,92.562800,142,,,,,,,,,,,,,,,,,,,,
39,Bandarban,Thanchi,39,Bangladesh,Chattogram,Bandarban,Thanchi,Remakri,01,,,,Atirang Para,অতিরাং পাড়া,REM102,21.693580,92.561636,127,,,,,,,,,,,,,,,,,,,,
40,Bandarban,Thanchi,40,Bangladesh,Chattogram,Bandarban,Thanchi,Remakri,01,,,,Kesmon Para,কেসমন পাড়া,REM103,21.694367,92.561949,88,,,,,,,,,,,,,,,,,,,,
41,Bandarban,Thanchi,41,Bangladesh,Chattogram,Bandarban,Thanchi,Remakri,01,,,,Khonchong Mro Para,খনচং ম্রো পাড়া,REM104,21.696281,92.557504,44,,,,,,,,,,,,,,,,,,,,
42,Bandarban,Thanchi,42,Bangladesh,Chattogram,Bandarban,Thanchi,Remakri,01,,,,Runjang Mro Para,র়ুনজাং ম্রো পাড়া,REM105,21.700486,92.561097,31,,,,,,,,,,,,,,,,,,,,
43,Bandarban,Thanchi,43,Bangladesh,Chattogram,Bandarban,Thanchi,Remakri,01,,,,Nochingaung Para,ঞোচিংঅং পাড়া,REM106,21.696419,92.558615,97,,,,,,,,,,,,,,,,,,,,
44,Bandarban,Thanchi,44,Bangladesh,Chattogram,Bandarban,Thanchi,Remakri,01,,,,Kalu Para,কালু পাড়া,REM107,21.698607,92.559729,137,,,,,,,,,,,,,,,,,,,,
45,Bandarban,Thanchi,45,Bangladesh,Chattogram,Bandarban,Thanchi,Remakri,01,,,,Shoiaung Para,শৈঅং পাড়া,REM108,21.699474,92.559985,14,,,,,,,,,,,,,,,,,,,,
46,Bandarban,Thanchi,46,Bangladesh,Chattogram,Bandarban,Thanchi,Remakri,01,,,,Champat Para,চম্পাত পাড়া,REM109,21.734787,92.578693,61,,,,,,,,,,,,,,,,,,,,
47,Bandarban,Thanchi,47,Bangladesh,Chattogram,Bandarban,Thanchi,Remakri,01,,,,Dalian Para BGB Camp,দলিয়ান পাড়া বিজিবি ক্যাম্প,REM110,21.680245,92.570631,,,,,,,,,,,,,,,,,,,,,
48,Bandarban,Thanchi,48,Bangladesh,Chattogram,Bandarban,Thanchi,Remakri,01,,,,Kalu Para BGB Camp,কালু পাড়া বিজিবি ক্যাম্প,REM111,21.721425,92.577290,,,,,,,,,,,,,,,,,,,,,
49,Bandarban,Thanchi,49,Bangladesh,Chattogram,Bandarban,Thanchi,Remakri,02,,,,Kyabo Para,ক্যবু পাড়া,REM201,21.694649,92.537899,235,,,,,,,,,,,,,,,,,,,,
50,Bandarban,Thanchi,50,Bangladesh,Chattogram,Bandarban,Thanchi,Remakri,02,,,,Hamajan Para,হামাজন পাড়া,REM202,21.721626,92.558856,136,,,,,,,,,,,,,,,,,,,,
51,Bandarban,Thanchi,51,Bangladesh,Chattogram,Bandarban,Thanchi,Remakri,02,,,,Dulu Para,দুলু পাড়া,REM203,21.737231,92.568378,103,,,,,,,,,,,,,,,,,,,,
52,Bandarban,Thanchi,52,Bangladesh,Chattogram,Bandarban,Thanchi,Remakri,02,,,,Chaihlau Para,চাইহ্লাউ পাড়া,REM204,21.693631,92.550037,185,,,,,,,,,,,,,,,,,,,,
53,Bandarban,Thanchi,53,Bangladesh,Chattogram,Bandarban,Thanchi,Remakri,02,,,,Aungkyaprue Para,অংক্যপ্রু পাড়া,REM205,21.713692,92.558668,96,,,,,,,,,,,,,,,,,,,,
54,Bandarban,Thanchi,54,Bangladesh,Chattogram,Bandarban,Thanchi,Remakri,02,,,,Jishuram Para,যীশুরাম পাড়া,REM206,21.729436,92.551621,75,,,,,,,,,,,,,,,,,,,,
55,Bandarban,Thanchi,55,Bangladesh,Chattogram,Bandarban,Thanchi,Remakri,02,,,,Uhlaching Para,উহ্লাচিং পাড়া,REM207,21.721200,92.538210,121,,,,,,,,,,,,,,,,,,,,
56,Bandarban,Thanchi,56,Bangladesh,Chattogram,Bandarban,Thanchi,Remakri,03,,,,Penedang Para,পেনেদং পাড়া,REM301,21.682647,92.527334,315,,,,,,,,,,,,,,,,,,,,
57,Bandarban,Thanchi,57,Bangladesh,Chattogram,Bandarban,Thanchi,Remakri,03,,,,Mongkhyoiu Para,মংখ্যইউ পাড়া,REM302,21.679818,92.521829,86,,,,,,,,,,,,,,,,,,,,
58,Bandarban,Thanchi,58,Bangladesh,Chattogram,Bandarban,Thanchi,Remakri,03,,,,Remakri Bazar,রেমাক্রী বাজার,REM303,21.677535,92.519513,541,,,,,,,,,,,,,,,,,,,,
59,Bandarban,Thanchi,59,Bangladesh,Chattogram,Bandarban,Thanchi,Remakri,03,,,,Mongmya Para,মংম্যা পাড়া,REM304,21.663726,92.519435,275,,,,,,,,,,,,,,,,,,,,
60,Bandarban,Thanchi,60,Bangladesh,Chattogram,Bandarban,Thanchi,Remakri,03,,,,Zadi Para,জাদি পাড়া,REM305,21.678401,92.521779,55,,,,,,,,,,,,,,,,,,,,
61,Bandarban,Thanchi,61,Bangladesh,Chattogram,Bandarban,Thanchi,Remakri,04,,,,Aunghla Khumi Para,অংহ্লা খুমী পাড়া,REM401,21.661617,92.516434,76,,,,,,,,,,,,,,,,,,,,
62,Bandarban,Thanchi,62,Bangladesh,Chattogram,Bandarban,Thanchi,Remakri,04,,,,Ada Mro Para,আদা ম্রো পাড়া,REM402,21.640595,92.528258,210,,,,,,,,,,,,,,,,,,,,
63,Bandarban,Thanchi,63,Bangladesh,Chattogram,Bandarban,Thanchi,Remakri,04,,,,Laithang Para,লাইথাং পাড়া,REM403,21.637586,92.504231,98,,,,,,,,,,,,,,,,,,,,
64,Bandarban,Thanchi,64,Bangladesh,Chattogram,Bandarban,Thanchi,Remakri,04,,,,Chai Aung Para,চাইঅং পাড়া,REM404,21.617942,92.498915,70,,,,,,,,,,,,,,,,,,,,
65,Bandarban,Thanchi,65,Bangladesh,Chattogram,Bandarban,Thanchi,Remakri,04,,,,Ayei Khumi Para,আইয়ে খুমী পাড়া,REM405,21.614556,92.516530,58,,,,,,,,,,,,,,,,,,,,
66,Bandarban,Thanchi,66,Bangladesh,Chattogram,Bandarban,Thanchi,Remakri,04,,,,Aunghle Khumi Para,অংলে খুমী পাড়া,REM406,21.634129,92.496404,76,,,,,,,,,,,,,,,,,,,,
67,Bandarban,Thanchi,67,Bangladesh,Chattogram,Bandarban,Thanchi,Remakri,04,,,,Saklang Mro Para,সাক্লাং ম্রো পাড়া,REM407,21.644933,92.461365,62,,,,,,,,,,,,,,,,,,,,
68,Bandarban,Thanchi,68,Bangladesh,Chattogram,Bandarban,Thanchi,Remakri,04,,,,Halirang Para ,হাঁলিরাং পাড়া,REM408,21.653271,92.519724,124,,,,,,,,,,,,,,,,,,,,
69,Bandarban,Thanchi,69,Bangladesh,Chattogram,Bandarban,Thanchi,Remakri,05,,,,Choto Madak Sakhyou Para,ছোট মদক সাখয়উ পাড়া,REM501,21.610020,92.541325,145,,,,,,,,,,,,,,,,,,,,
70,Bandarban,Thanchi,70,Bangladesh,Chattogram,Bandarban,Thanchi,Remakri,05,,,,Bilorang Subas Para,বিলোরাং সুবাস পাড়া,REM502,21.594493,92.541106,124,,,,,,,,,,,,,,,,,,,,
71,Bandarban,Thanchi,71,Bangladesh,Chattogram,Bandarban,Thanchi,Remakri,05,,,,Prele Para,প্রেলে পাড়া,REM503,21.599401,92.530239,78,,,,,,,,,,,,,,,,,,,,
72,Bandarban,Thanchi,72,Bangladesh,Chattogram,Bandarban,Thanchi,Remakri,05,,,,Hanachandra Para,হানাচন্দ্র পাড়া,REM504,21.619118,92.544205,128,,,,,,,,,,,,,,,,,,,,
73,Bandarban,Thanchi,73,Bangladesh,Chattogram,Bandarban,Thanchi,Remakri,05,,,,Huku Para,হুকু পাড়া,REM505,21.594202,92.539106,139,,,,,,,,,,,,,,,,,,,,
74,Bandarban,Thanchi,74,Bangladesh,Chattogram,Bandarban,Thanchi,Remakri,05,,,,Choto Madak BGB Camp,ছোট মদক বিজিবি ক্যাম্প,REM506,21.623240,92.547627,,,,,,,,,,,,,,,,,,,,,
75,Bandarban,Thanchi,75,Bangladesh,Chattogram,Bandarban,Thanchi,Remakri,06,,,,Pruesaung Para,প্রুসাঅং পাড়া,REM601,21.574273,92.568158,354,,,,,,,,,,,,,,,,,,,,
76,Bandarban,Thanchi,76,Bangladesh,Chattogram,Bandarban,Thanchi,Remakri,06,,,,Usamong Para,উসামং পাড়া,REM602,21.572200,92.567456,278,,,,,,,,,,,,,,,,,,,,
77,Bandarban,Thanchi,77,Bangladesh,Chattogram,Bandarban,Thanchi,Remakri,06,,,,Hnasalang Para,নাসালাং পাড়া,REM603,21.561974,92.566214,125,,,,,,,,,,,,,,,,,,,,
78,Bandarban,Thanchi,78,Bangladesh,Chattogram,Bandarban,Thanchi,Remakri,06,,,,Aunggi Khumi Para,অংগী খুমী পাড়া,REM604,21.559346,92.547993,105,,,,,,,,,,,,,,,,,,,,
79,Bandarban,Thanchi,79,Bangladesh,Chattogram,Bandarban,Thanchi,Remakri,06,,,,Jogirang Para,যোগিরাং পাড়া,REM605,21.556766,92.569945,80,,,,,,,,,,,,,,,,,,,,
80,Bandarban,Thanchi,80,Bangladesh,Chattogram,Bandarban,Thanchi,Remakri,06,,,,Chaishaiu Para,চাইশৈউ পাড়া,REM606,21.554645,92.570523,60,,,,,,,,,,,,,,,,,,,,
81,Bandarban,Thanchi,81,Bangladesh,Chattogram,Bandarban,Thanchi,Remakri,06,,,,Basingaung Para,বাসিংঅং পাড়া,REM607,21.550887,92.569348,210,,,,,,,,,,,,,,,,,,,,
82,Bandarban,Thanchi,82,Bangladesh,Chattogram,Bandarban,Thanchi,Remakri,06,,,,Napelang Usathoai Para,নাপেলাং উসাথোয়াই পাড়া,REM608,21.541641,92.561047,40,,,,,,,,,,,,,,,,,,,,
83,Bandarban,Thanchi,83,Bangladesh,Chattogram,Bandarban,Thanchi,Remakri,06,,,,Patoa Para,পাতোয়া পাড়া,REM609,21.545960,92.548636,130,,,,,,,,,,,,,,,,,,,,
84,Bandarban,Thanchi,84,Bangladesh,Chattogram,Bandarban,Thanchi,Remakri,06,,,,Puraton Patoa Para,পুরাতন পাতোয়া পাড়া,REM610,21.557831,92.525785,98,,,,,,,,,,,,,,,,,,,,
85,Bandarban,Thanchi,85,Bangladesh,Chattogram,Bandarban,Thanchi,Remakri,06,,,,Andar Manik Bazar Para,আন্দার মানিক বাজার পাড়া,REM611,21.538665,92.554026,80,,,,,,,,,,,,,,,,,,,,
86,Bandarban,Thanchi,86,Bangladesh,Chattogram,Bandarban,Thanchi,Remakri,06,,,,Yangnong Para (Mrongwya),য়ংনং পাড়া (ম্রংওয়া),REM612,21.536421,92.552570,220,,,,,,,,,,,,,,,,,,,,
87,Bandarban,Thanchi,87,Bangladesh,Chattogram,Bandarban,Thanchi,Remakri,06,,,,Ching Chong Para,চিং চং পাড়া,REM613,21.532957,92.543134,135,,,,,,,,,,,,,,,,,,,,
88,Bandarban,Thanchi,88,Bangladesh,Chattogram,Bandarban,Thanchi,Remakri,06,,,,Naresa Mro Para,নারেসা ম্রো পাড়া,REM614,21.522135,92.539627,225,,,,,,,,,,,,,,,,,,,,
89,Bandarban,Thanchi,89,Bangladesh,Chattogram,Bandarban,Thanchi,Remakri,06,,,,Menthang Para,ম্যানথং পাড়া,REM615,21.529523,92.518808,30,,,,,,,,,,,,,,,,,,,,
90,Bandarban,Thanchi,90,Bangladesh,Chattogram,Bandarban,Thanchi,Remakri,06,,,,Haichoya Mro Para,হাইছোয়া ম্রো পাড়া,REM616,21.496993,92.567037,22,,,,,,,,,,,,,,,,,,,,
91,Bandarban,Thanchi,91,Bangladesh,Chattogram,Bandarban,Thanchi,Remakri,06,,,,Dungdung Mro Para,ডুংডুং ম্রো পাড়া,REM617,21.495884,92.544317,40,,,,,,,,,,,,,,,,,,,,
92,Bandarban,Thanchi,92,Bangladesh,Chattogram,Bandarban,Thanchi,Remakri,06,,,,Nephew Para,নেপিউ পাড়া,REM618,21.470467,92.549526,70,,,,,,,,,,,,,,,,,,,,
93,Bandarban,Thanchi,93,Bangladesh,Chattogram,Bandarban,Thanchi,Remakri,06,,,,Mronggong Koshoipro Para,ম্রংগং কশৈপ্রং পাড়া,REM619,21.456962,92.584462,70,,,,,,,,,,,,,,,,,,,,
94,Bandarban,Thanchi,94,Bangladesh,Chattogram,Bandarban,Thanchi,Remakri,06,,,,Mempre Para,মেমপ্রে পাড়া,REM620,21.443590,92.578226,18,,,,,,,,,,,,,,,,,,,,
95,Bandarban,Thanchi,95,Bangladesh,Chattogram,Bandarban,Thanchi,Remakri,06,,,,Yongbongse Para,য়াংবংসে পাড়া,REM621,21.436945,92.572897,90,,,,,,,,,,,,,,,,,,,,
96,Bandarban,Thanchi,96,Bangladesh,Chattogram,Bandarban,Thanchi,Remakri,06,,,,Yangbonggre Para,য়াংবংগ্নি পাড়া,REM622,21.424221,92.576643,70,,,,,,,,,,,,,,,,,,,,
97,Bandarban,Thanchi,97,Bangladesh,Chattogram,Bandarban,Thanchi,Remakri,06,,,,Loikri Noiyaithang Para,লইক্রি ঙৈইথং পাড়া,REM623,21.406372,92.586685,370,,,,,,,,,,,,,,,,,,,,
98,Bandarban,Thanchi,98,Bangladesh,Chattogram,Bandarban,Thanchi,Remakri,06,,,,Loikri Suryamani Tripura Para,লইক্রি সূর্যমনি ত্রিপুরা পাড়া,REM624,21.404516,92.586445,45,,,,,,,,,,,,,,,,,,,,
99,Bandarban,Thanchi,99,Bangladesh,Chattogram,Bandarban,Thanchi,Remakri,06,,,,Chandra Mohan Para,চন্দ্র মোহন পাড়া,REM625,21.364416,92.594469,16,,,,,,,,,,,,,,,,,,,,
100,Bandarban,Thanchi,100,Bangladesh,Chattogram,Bandarban,Thanchi,Remakri,06,,,,Yongdong Para,ইয়ংডং পাড়া,REM626,21.350913,92.593951,19,,,,,,,,,,,,,,,,,,,,
101,Bandarban,Thanchi,101,Bangladesh,Chattogram,Bandarban,Thanchi,Remakri,06,,,,Tangkhwaing Singkrat Para,তাংখোয়াইং সিংক্রাত পাড়া,REM627,21.325335,92.611352,68,,,,,,,,,,,,,,,,,,,,
102,Bandarban,Thanchi,102,Bangladesh,Chattogram,Bandarban,Thanchi,Remakri,06,,,,Bulu Para (Lakpaing),বুলু পাড়া (লাকপাইন) ,REM628,21.306137,92.622106,90,,,,,,,,,,,,,,,,,,,,
103,Bandarban,Thanchi,103,Bangladesh,Chattogram,Bandarban,Thanchi,Remakri,06,,,,Menhat Para,মেনহাত পাড়া,REM629,21.287672,92.616454,90,,,,,,,,,,,,,,,,,,,,
104,Bandarban,Thanchi,104,Bangladesh,Chattogram,Bandarban,Thanchi,Remakri,06,,,,Laykri BGB Camp,লাইক্রি বিজিবি ক্যাম্প,REM630,21.404037,92.580988,,,,,,,,,,,,,,,,,,,,,
105,Bandarban,Thanchi,105,Bangladesh,Chattogram,Bandarban,Thanchi,Remakri,06,,,,Bulu Para BGB Camp,বুলু পাড়া বিজিবি ক্যাম্প,REM631,21.302455,92.619461,,,,,,,,,,,,,,,,,,,,,
106,Bandarban,Thanchi,106,Bangladesh,Chattogram,Bandarban,Thanchi,Remakri,06,,,,Maiva Para/ Isaac Para,মাইভা/আইজ্যাক পাড়া,REM632,21.585177,92.510077,165,,,,,,,,,,,,,,,,,,,,
107,Bandarban,Thanchi,107,Bangladesh,Chattogram,Bandarban,Thanchi,Remakri,07,,,,Rungsola Para,রুংসোলা পাড়া,REM701,21.630032,92.550139,245,,,,,,,,,,,,,,,,,,,,
108,Bandarban,Thanchi,108,Bangladesh,Chattogram,Bandarban,Thanchi,Remakri,07,,,,Jagat Chandra Para,জগৎ চন্দ্র পাড়া,REM702,21.626274,92.552790,58,,,,,,,,,,,,,,,,,,,,
109,Bandarban,Thanchi,109,Bangladesh,Chattogram,Bandarban,Thanchi,Remakri,07,,,,Aduha Para,আদুহা পাড়া,REM703,21.633972,92.540802,67,,,,,,,,,,,,,,,,,,,,
110,Bandarban,Thanchi,110,Bangladesh,Chattogram,Bandarban,Thanchi,Remakri,07,,,,Khesaprue Para,খেসাপ্রু পাড়া,REM704,21.612624,92.542671,281,,,,,,,,,,,,,,,,,,,,
111,Bandarban,Thanchi,111,Bangladesh,Chattogram,Bandarban,Thanchi,Remakri,07,,,,Kyamong Headman Para,ক্যমং হেডম্যান পাড়া,REM705,21.625270,92.572342,278,,,,,,,,,,,,,,,,,,,,
112,Bandarban,Thanchi,112,Bangladesh,Chattogram,Bandarban,Thanchi,Remakri,07,,,,Mothe Para,মথি পাড়া,REM706,21.645035,92.587001,121,,,,,,,,,,,,,,,,,,,,
113,Bandarban,Thanchi,113,Bangladesh,Chattogram,Bandarban,Thanchi,Remakri,07,,,,Punia Para BGB Camp,পুনিয়া পাড়া বিজিবি ক্যাম্প,REM707,21.641162,92.587396,,,,,,,,,,,,,,,,,,,,,
114,Bandarban,Thanchi,114,Bangladesh,Chattogram,Bandarban,Thanchi,Remakri,07,,,,Madikhiang BOP Camp,মাদিখিয়ং বিওপি ক্যাম্প,REM708,21.614737,92.579606,30,,,,,,,,,,,,,,,,,,,,
115,Bandarban,Thanchi,115,Bangladesh,Chattogram,Bandarban,Thanchi,Remakri,08,,,,Bara Madak Bhitor Para,বড় মদক ভিতর পাড়া,REM801,21.576542,92.577084,1005,,,,,,,,,,,,,,,,,,,,
116,Bandarban,Thanchi,116,Bangladesh,Chattogram,Bandarban,Thanchi,Remakri,08,,,,Shri Mohan Para,শ্রী মোহন পাড়া,REM802,21.575618,92.573462,47,,,,,,,,,,,,,,,,,,,,
117,Bandarban,Thanchi,117,Bangladesh,Chattogram,Bandarban,Thanchi,Remakri,09,,,,Paimong Para,পাইমং পাড়া,REM901,21.574275,92.572149,270,,,,,,,,,,,,,,,,,,,,
118,Bandarban,Thanchi,118,Bangladesh,Chattogram,Bandarban,Thanchi,Remakri,09,,,,Bara Madok Bazar Para,বড় মদক বাজার পাড়া,REM902,21.573096,92.570799,200,,,,,,,,,,,,,,,,,,,,
119,Bandarban,Thanchi,119,Bangladesh,Chattogram,Bandarban,Thanchi,Remakri,09,,,,Anang Khumi Para,আনং খুমী পাড়া,REM903,21.562295,92.569395,85,,,,,,,,,,,,,,,,,,,,
120,Bandarban,Thanchi,120,Bangladesh,Chattogram,Bandarban,Thanchi,Remakri,09,,,,Foshoiu Para,ফোশৈউ পাড়া,REM904,21.560719,92.568505,174,,,,,,,,,,,,,,,,,,,,
